,english,francais
0,the,la
1,of,de
2,to,à
3,and,et
4,a,une
5,in,en
6,for,pour
7,is,est
8,the,le
9,that,que
10,on,sur
11,said,dit
12,with,avec
13,be,être
14,was,était
15,by,par
16,as,comme
17,are,sont
18,at,à
19,it,il
20,has,a
21,an,une
22,have,avoir
23,will,volonté
24,or,ou
25,its,son
26,he,il
27,not,pas
28,were,étaient
29,which,qui
30,this,cette
31,but,mais
32,can,pouvoir
33,more,plus
34,his,son
35,been,été
36,would,voudrais
37,about,sur
38,their,leur
39,also,aussi
40,they,ils
41,million,million
42,had,eu
43,than,que
44,who,qui
45,in,en
46,one,une
47,you,vous
48,new,nouveau
49,a,un
50,i,je
51,other,autre
52,year,année
53,all,tous
54,two,deux
55,s,s
56,but,mais
57,it,il
58,company,société
59,into,en
60,u,u
61,system,système
62,some,certains
63,when,quand
64,out,dehors
65,last,dernier
66,only,seulement
67,after,après
68,first,première
69,time,temps
70,says,dit
71,he,il
72,years,ans
73,market,marché
74,no,aucun
75,over,sur
76,we,nous
77,could,pourrait
78,if,si
79,people,personnes
80,such,tel
81,this,cette
82,most,plus
83,use,utilisation
84,any,tout
85,data,données
86,there,là
87,them,les
88,government,gouvernement
89,may,peut
90,software,logiciel
91,so,si
92,new,nouveau
93,now,maintenant
94,many,beaucoup
95,program,programme
96,systems,systèmes
97,three,trois
98,do,faire
99,inc,inc
100,between,entre
101,billion,milliard
102,what,quoi
103,through,par
104,per,par
105,make,faire
106,before,avant
107,should,devrait
108,these,ces
109,under,sous
110,made,fabriqué
111,corp,corp
112,companies,entreprises
113,much,beaucoup
114,work,travail
115,users,utilisateurs
116,officials,fonctionnaires
117,like,comme
118,business,entreprise
119,support,soutien
120,just,juste
121,each,chaque
122,those,ceux
123,her,son
124,well,bien
125,since,depuis
126,she,elle
127,information,information
128,being,étant
129,your,votre
130,products,produits
131,president,président
132,share,part
133,sales,ventes
134,where,où
135,say,dire
136,get,obtenir
137,network,réseau
138,against,contre
139,we,nous
140,even,même
141,if,si
142,week,semaine
143,price,prix
144,group,groupe
145,way,façon
146,during,pendant
147,state,état
148,still,encore
149,same,même
150,then,puis
151,number,nombre
152,for,pour
153,they,ils
154,our,notre
155,very,très
156,shares,part
157,next,suivant
158,computer,ordinateur
159,set,ensemble
