francais,espanol
la,ya está
de,desde
à,a
et,y
une,un
en,en
pour,a
est,es
Le,la
que,que
sur,en
dit,dicho
avec,junto con
être,ser
était,fue
par,por
comme,tal como
sont,son
à,a
à partir de,desde
il,ella
a,a
une,un
avoir,para ver
volonté,voluntad
ou,o
son,su
il,ella
pas,no
étaient,eran
qui,que
cette,este
mais,pero
pouvoir,energía
plus,más
son,su
été,verano
voudrais,haría
sur,en
leur,su
aussi,también
ils,ellos
million,millón
eu,tenido
que,que
en haut,superior
qui,que
En,en
une,un
vous,usted
nouveau,nuevo
Un,la
Je,yO
autre,otro
année,año
tous,todos
deux,dos
S,S
Mais,pero
Il,él
société,sociedad
en,en
U,U
M.,SR.
système,sistema
certains,algunos
quand,cuándo
dehors,fuera
dernier,último
seulement,sólo
après,después
première,primero
temps,tiempo
dit,dicho
Il,él
ans,años de edad
marché,mercado
aucun,no
sur,en
nous,nosotros
pourrait,podría
si,si
personnes,gente
pour cent,por ciento
tel,tal
Cette,este
plus,más
utilisation,uso
parce que,porque
tout,todos
données,datos
Là,Ya Está
les,la
gouvernement,gobierno
peut,lata
logiciel,software
si,si
Nouveau,nuevo
maintenant,ahora mismo
beaucoup,tanto
d'occasion,segunda mano
programme,programa de estudios
systèmes,sistemas
trois,tres
faire,hacer
Inc,Inc
entre,entre
milliard,billón
quoi,qué
par,por
par,por
faire,hacer
avant,antes
devrait,debería
ces,estos
vers le bas,abajo
sous,bajo
fabriqué,hecho
Corp,Corp
entreprises,negocios
beaucoup,tanto
travail,laboral
utilisateurs,Usuarios
fonctionnaires,funcionarios
comme,tal como
entreprise,negocios
soutien,apoyo
juste,derecho
chaque,cada
ceux,aquellos
son,su
bien,bueno
depuis,desde entonces
elle,ella
information,información
les deux,ambos
étant,ser
votre,su
produits,Productos
président,presidente
part,cuota
ventes,venta
où,donde
dire,decir
obtenir,obtener
réseau,red
contre,contra
Nous,nosotros
tandis que,mientras
même,incluso
Si,si
semaine,semana
prix,precio
groupe,grupo
façon,camino
pendant,para
état,condición
encore,todavía
même,incluso
puis,entonces
nombre,número
Pour,a
Ils,ellos
notre,nuestro
très,muy
part,cuota
suivant,siguiente
y compris,incluyendo
ordinateur,computadora
ensemble,juntos
applications,aplicaciones
de,desde
disponible,disponible
York,York
comment,cómo es eso
prix,precio
prendre,comenzar
lui,él
Américain,americano
aide,ayuda
moût,necesario
partie,parte
arrière,trasero
attendu,esperado
bon,bueno
stock,valores
Et,y
élevé,alto
autre,otro
plusieurs,varios
mois,mes
fin,fin
rapport,informe
IBM,IBM
produit,producto
industrie,industria
ne pas,no
propre,propio
quatre,cuatro
majeur,mayor
besoin,necesitar
puissance,energía
gestion,administración
contrôle,control
fait,hecho
moins,menos
taux,tarifa
fichier,expediente
appelé,llamado
Uni,unido
Comme,tal Como
Soviétique,soviético
Là,Ya Está
deuxième,segundo
sans,sin
vouloir,querer
jour,día
trouvé,fundar
mois,mes
rapporté,reportado
voir,vista
développement,desarrollo
aidez-moi,ayuadame
cent,centavo
public,público
aujourd'hui,hoy
Co,co
argent,dinero
cas,caso
intérêt,interés
programmes,programas
Ordinateur personnel,ordenador personal
commerce,comercio
basé,basado
cinq,cinco
coût,costo
journées,día
grand,gran
problèmes,dificultades
trop,demasiado
service,servicio
ligne,línea
utilisateur,usuario
fédéral,federal
peu,poco
À,A
inclure,incluir
dit,dicho
t,t
aller,ir
plan,plan
C,C
technologie,tecnología
augmenter,aumentar
jusqu'à,a
performance,rendimiento
aller,ir
fournir,proporcionar
puissance,energía
résultats,resultados
offre,oferta
moins,menos
course,raza
petit,poco
ce est,es
d'exploitation,operativo
courant,corriente
Fenêtres,ventanas
Buisson,arbusto
National,nacional
police,policía
différent,diferente
trimestre,trimestre
ma,mi
mémoire,memoria
selon,de acuerdo a
plans,Planes
longue,largo
Il ya,Ahi esta
autour,alrededor
version,versión
disque,disco
rose,rosa
Vendredi,El Viernes
tôt,temprano
problème,problema
penser,pensar
Président,presidente
processus,proceso
Une,la
